OCC_CODE,OCC_TITLE,TOT_EMP,A_PCT25,A_MEDIAN,A_PCT75,AIOE
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",18210,33300.0,37870.0,47430.0,-1.94229
47-3012,Helpers--Carpenters,27540,29750.0,36690.0,43790.0,-1.425282
47-3013,Helpers--Electricians,72150,29630.0,36360.0,39350.0,-1.506896
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",8940,29400.0,33370.0,37970.0,-2.04484
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",45930,29260.0,35720.0,38420.0,-1.678876
47-3016,Helpers--Roofers,6830,29650.0,36360.0,38550.0,-1.89822
47-4011,Construction and Building Inspectors,117830,48360.0,61640.0,78940.0,0.2860245
47-4021,Elevator and Escalator Installers and Repairers,22510,62190.0,97860.0,117350.0,-0.8604742
47-4031,Fence Erectors,24470,31920.0,37700.0,46550.0,-1.902113
47-4041,Hazardous Materials Removal Workers,44240,37070.0,46300.0,59400.0,-0.6887439
47-4051,Highway Maintenance Workers,141150,36700.0,45880.0,48500.0,-1.27909
47-4061,Rail-Track Laying and Maintenance Equipment Operators,21030,48070.0,61690.0,77560.0,-1.39906
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,28620,36240.0,44810.0,49850.0,-1.210591
47-5011,"Derrick Operators, Oil and Gas",7880,38270.0,47230.0,61020.0,-1.415002
47-5012,"Rotary Drill Operators, Oil and Gas",11170,46940.0,56380.0,76990.0,-0.7737326
47-5013,"Service Unit Operators, Oil and Gas",32870,37990.0,48410.0,62370.0,-0.971916
47-5041,Continuous Mining Machine Operators,14740,47370.0,60300.0,61690.0,-1.165492
47-5051,"Rock Splitters, Quarry",4450,30120.0,37700.0,47530.0,-1.763494
47-5071,"Roustabouts, Oil and Gas",34520,36660.0,38920.0,47790.0,-1.518977
47-5081,Helpers--Extraction Workers,5980,34600.0,37760.0,46740.0,-1.543154
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",526240,51980.0,71260.0,91390.0,-0.0205169
49-2011,"Computer, Automated Teller, and Office Machine Repairers",86420,34640.0,40970.0,50440.0,-0.3458247
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",13700,47230.0,60360.0,77800.0,-0.6335382
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",172830,47040.0,60370.0,76490.0,-0.853048
49-2091,Avionics Technicians,18910,56960.0,69280.0,80690.0,-0.1728535
49-2092,"Electric Motor, Power Tool, and Related Repairers",15880,37360.0,46910.0,58970.0,-0.8106341
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",10710,59870.0,77250.0,80900.0,-0.8303875
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",50780,48420.0,61730.0,76600.0,-0.4632031
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",22490,76140.0,93420.0,101680.0,-0.5522636
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",9000,36260.0,40670.0,48670.0,-0.7915968
49-2097,Audiovisual Equipment Installers and Repairers,21540,36490.0,44790.0,54150.0,-0.571284
49-2098,Security and Fire Alarm Systems Installers,77420,38110.0,48320.0,60830.0,-0.6926484
49-3011,Aircraft Mechanics and Service Technicians,125440,50330.0,65380.0,79540.0,-0.6551197
49-3021,Automotive Body and Related Repairers,137300,37360.0,47270.0,59930.0,-1.180589
49-3022,Automotive Glass Installers and Repairers,16230,31370.0,37920.0,47090.0,-1.202285
49-3023,Automotive Service Technicians and Mechanics,629780,35680.0,46880.0,59950.0,-0.9547055
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,261420,41600.0,48690.0,61050.0,-1.010472
49-3041,Farm Equipment Mechanics and Service Technicians,35030,37280.0,46910.0,58840.0,-1.20703
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",145230,47020.0,58030.0,63450.0,-1.169815
49-3043,Rail Car Repairers,22800,47200.0,60250.0,77150.0,-1.448102
49-3051,Motorboat Mechanics and Service Technicians,23080,36730.0,46730.0,56550.0,-0.8863602
49-3052,Motorcycle Mechanics,15020,30320.0,38170.0,48060.0,-0.763721
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,34700,30400.0,37540.0,47000.0,-0.8941408
49-3091,Bicycle Repairers,14760,29120.0,34690.0,37920.0,-0.9226068
49-3092,Recreational Vehicle Service Technicians,16030,36100.0,43560.0,49660.0,-0.9244052
